CD_NOM,Nb Obs Total,Auvergne-Rhône-Alpes,Bourgogne-Franche-Comté,Bretagne,Centre-Val de Loire,Corse,Façade Atlantique,Façade Manche,Façade Méditerranée,Grand Est,Hauts-de-France,Normandie,Nouvelle-Aquitaine,Occitanie,Pays de la Loire,Provence-Alpes-Côte d'Azur,Île-de-France
117860,130893,38617,13783,2001,10366,118,23,13,107,8112,3205,1958,11489,9111,4114,11457,16419
197264,333055,100471,40597,12288,16039,2442,81,128,70,28069,10672,9079,15839,22665,12893,46677,15045
118170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197281,436411,124623,52453,11362,26605,5606,85,146,663,44837,14524,9177,33903,26994,14144,40053,31236
119525,520,228,5,7,4,0,0,0,0,6,0,1,50,217,0,1,1
119698,91336,15999,3147,5103,9364,1820,219,95,713,423,414,3076,14241,15791,6896,11078,2957
197334,541060,209632,53271,13536,28597,830,61,192,78,40953,20704,11119,29687,20631,12955,68648,30166
119991,64143,24164,9482,82,5498,199,1,17,2,6573,3362,899,3247,977,168,1573,7899
120029,20091,9945,871,17,40,3,0,0,2,300,46,36,165,1162,44,7335,125
120189,40555,18905,4287,15,1655,152,1,4,23,2135,167,36,537,1938,104,10162,434
120753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197354,4694,161,17,28,20,640,1,0,4,28,23,11,102,1176,58,2363,62
120824,53402,18421,5044,247,4309,230,1,37,9,3536,2386,630,3279,6179,1102,3766,4226
120877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121999,38809,4747,4384,3140,4205,121,7,41,7,2878,2840,2617,2736,1836,2647,1216,5387
122236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123568,50293,27007,2822,477,1405,3,12,49,0,1205,225,326,2748,4224,764,8160,866
124034,97667,17432,10912,6731,8903,79,112,127,16,8392,6247,4777,7008,4177,6252,2163,14339
124453,23028,4526,113,121,95,204,17,1,297,36,28,49,445,5748,220,10919,209
197858,3315,767,271,54,504,0,0,1,1,307,43,37,498,643,65,18,106
124680,19,0,3,0,0,0,0,0,0,12,0,0,0,2,2,0,0
124797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124814,97204,21700,13809,5878,5498,54,8,50,1,14209,9223,4635,4490,3055,3266,1306,10022
125006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198123,4067,1056,160,67,103,0,0,9,0,558,945,337,143,29,105,20,535
125364,11068,1621,52,82,89,0,0,0,8,3,6,7,3066,2404,18,3700,12
125585,3742,224,187,338,144,98,8,14,3,100,17,75,106,580,590,724,534
126035,147289,46592,12538,9698,12202,1207,65,77,4,8016,1984,4851,17955,11688,6995,1801,11616
